1st day menu
Omnivore, Spicy Thai coconut chicken soup, Pork Lettuce Wraps, Chocolate Mousse
Vegetarian, Beet Borscht, Spinach & ricotta gnocchi, Chocolate Mousse
Flexitarian, Portuguese Fish Soup, Crunchy Fish Pie, Chocolate Mousse
2nd day menu
Omnivore, Turkey and Wild Rice Soup, Sticky Sesame Chicken, Red Velvet Cupcakes
Vegetarian, Potato soup, Vegetarian wellington, Red Velvet Cupcakes
Flexitarian, Sanibel Fish Soup, Shrimp Bisque, Red Velvet Cupcakes
3rd day menu
Omnivore, Beef soup, Sirloin Steak, Red Velvet Cupcakes
Vegetarian, Mushroom soup, Baked tomato & mozzarella orzo, Red Velvet Cupcakes
Flexitarian, Portuguese Fish Soup, Peruvian Shrimp Chowder, Red Velvet Cupcakes
